Date,Content,Comment
2017-05-23,https://boxd.it/15Fci,"Hey, I wanted Bye Bye Brazil and for only $3 more, I received 9 more movies. I mean, you can't say no to that. Also you still have my VCR so it did make sense to ship them here."
2017-08-18,https://boxd.it/joR2X,I know how you really feel.
