Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-10-18,Samba,2014,https://boxd.it/kWdrb,3,,,2015-08-19
2017-10-18,The Man from U.N.C.L.E.,2015,https://boxd.it/kWdt7,4,Yes,,2015-08-19
2017-10-18,Max,2015,https://boxd.it/kWdv3,2,,,2015-08-20
2017-10-18,Irrational Man,2015,https://boxd.it/kWdxt,2,,,2015-08-22
2017-10-18,American Ultra,2015,https://boxd.it/kWdzp,3.5,,,2015-08-23
2017-10-18,Mr. Holmes,2015,https://boxd.it/kWdCj,1.5,,,2015-08-27
2016-03-27,The Descendants,2011,https://boxd.it/96a1h,4,,,2016-03-26
2016-04-09,Deadpool,2016,https://boxd.it/9hu5F,3.5,,,2016-04-08
2016-09-18,Batman v Superman: Dawn of Justice,2016,https://boxd.it/biL6Z,1.5,,,2016-07-17
2016-09-18,April and the Extraordinary World,2015,https://boxd.it/biL6F,4,,,2016-09-01
2016-09-18,The Babadook,2014,https://boxd.it/biThL,5,,,2016-09-17
2016-09-18,The Book of Life,2014,https://boxd.it/biTrV,5,Yes,,2016-09-17
2016-09-18,The Big Short,2015,https://boxd.it/biTq9,3,Yes,,2016-09-18
2016-11-26,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/cgpGL,2.5,,,2016-11-26
2016-11-26,Jumanji,1995,https://boxd.it/cgpHp,4,,,2016-11-26
2016-12-30,Star Wars,1977,https://boxd.it/cP74z,5,,,2016-12-30
2018-06-16,How to Train Your Dragon,2010,https://boxd.it/t8eJ7,5,Yes,,2017-01-01
2017-03-29,The Lego Batman Movie,2017,https://boxd.it/fWQtZ,3.5,,,2017-02-15
2017-03-29,Logan,2017,https://boxd.it/fWQrp,4.5,,,2017-03-18
2017-03-29,Get Out,2017,https://boxd.it/fWQsR,4.5,,,2017-03-19
2017-03-29,20th Century Women,2016,https://boxd.it/fXYnR,3.5,,,2017-03-28
2017-04-04,The Undead,1957,https://boxd.it/g8Gux,1,,,2017-04-03
2017-04-05,Power Rangers,2017,https://boxd.it/gaa6n,5,,,2017-04-04
2017-04-09,Kubo and the Two Strings,2016,https://boxd.it/gh99J,4.5,Yes,,2017-04-08
2017-04-09,Your Name.,2016,https://boxd.it/gh9bF,3.5,,,2017-04-08
2017-04-30,Monsoon Wedding,2001,https://boxd.it/gS7GP,4,,,2017-04-29
2017-05-06,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/h1bj9,,,,2017-05-06
2017-05-07,Casting JonBenet,2017,https://boxd.it/h2g9F,,,,2017-05-06
2017-05-08,Space Mutiny,1988,https://boxd.it/h4EeD,0.5,,,2017-05-08
2017-05-09,Heathers,1988,https://boxd.it/h67VD,4,Yes,,2017-05-09
2017-05-10,Green Room,2015,https://boxd.it/h7aTx,4.5,,,2017-05-09
2017-05-10,Santa Claus Conquers the Martians,1964,https://boxd.it/h7RxJ,1,,,2017-05-09
2017-05-13,World of Tomorrow,2015,https://boxd.it/hbxNF,,,,2017-05-12
2017-05-13,Father Frost,1964,https://boxd.it/hbTyn,2,,,2017-05-12
2017-05-19,Hairspray Live!,2016,https://boxd.it/hjDBV,3,,,2017-05-19
2017-05-20,Goon,2011,https://boxd.it/hkNa3,2.5,,,2017-05-19
2017-05-23,Heavy Metal,1981,https://boxd.it/hp0ov,,,,2017-05-23
2017-05-24,The Jazz Singer,1927,https://boxd.it/hpvF3,,,,2017-05-23
2017-05-25,Thelma & Louise,1991,https://boxd.it/hr0MV,4.5,Yes,,2017-05-24
2017-05-27,Mighty Morphin Power Rangers: The Movie,1995,https://boxd.it/htssX,1.5,,,2017-05-27
2017-05-28,RoboCop,1987,https://boxd.it/huFt7,3,Yes,,2017-05-28
2017-06-10,Limitless,2011,https://boxd.it/hLDgz,2,,,2017-06-09
2017-06-12,Beauty and the Beast,2017,https://boxd.it/hOkel,1.5,,,2017-06-11
2017-06-15,The Bye Bye Man,2017,https://boxd.it/hR2nP,1.5,,,2017-06-14
2017-06-15,A Monster Calls,2016,https://boxd.it/hRHuH,3,,,2017-06-14
2017-06-23,Demolition Man,1993,https://boxd.it/i238D,,,,2017-06-22
2017-06-25,Clerks,1994,https://boxd.it/i4lZ5,3.5,,,2017-06-24
2017-06-26,My Neighbor Totoro,1988,https://boxd.it/i6ta9,5,Yes,,2017-06-25
2017-06-26,Snack attack,2012,https://boxd.it/i6taN,,,,2017-06-25
2017-06-26,The Pocket Man,2016,https://boxd.it/i6tcf,,,,2017-06-25
2017-06-27,Paris Is Burning,1990,https://boxd.it/i7Bvr,,,,2017-06-27
2017-06-27,It,1990,https://boxd.it/i7LTD,3.5,Yes,,2017-06-27
2017-06-29,Wonder Woman,2017,https://boxd.it/ia7NL,4,,,2017-06-27
2017-07-02,Christine,1983,https://boxd.it/iduOj,4,,,2017-06-27
2017-06-29,Hairspray,1988,https://boxd.it/iabcT,3,,,2017-06-28
2017-07-01,Clerks II,2006,https://boxd.it/ibVot,3,,,2017-06-29
2017-07-02,Baby Driver,2017,https://boxd.it/iduIP,3.5,,,2017-07-01
2017-07-03,Wet Hot American Summer,2001,https://boxd.it/ifWhV,4,Yes,,2017-07-03
2017-07-06,Blast from the Past,1999,https://boxd.it/ijSkJ,3.5,Yes,,2017-07-05
2017-07-09,The Rocketeer,1991,https://boxd.it/iozoR,3.5,Yes,,2017-07-08
2017-07-11,Spider-Man: Homecoming,2017,https://boxd.it/isyL9,,,,2017-07-10
2017-07-12,Slack Bay,2016,https://boxd.it/itG1P,2.5,,,2017-07-11
2017-07-16,The Beguiled,2017,https://boxd.it/izISX,2,,,2017-07-14
2017-07-16,The Little Hours,2017,https://boxd.it/izITV,3.5,,,2017-07-15
2017-07-18,13 Going on 30,2004,https://boxd.it/iCO1r,3,Yes,,2017-07-18
2017-07-18,Enchanted,2007,https://boxd.it/iCYvh,3.5,Yes,,2017-07-18
2017-07-20,The Big Sick,2017,https://boxd.it/iEF5j,4.5,,,2017-07-18
2017-07-21,Teenagers from Outer Space,1959,https://boxd.it/iGYzh,1.5,,,2017-07-21
2017-07-25,Maudie,2016,https://boxd.it/iN4X7,3,,,2017-07-24
2017-07-26,Kiki's Delivery Service,1989,https://boxd.it/iOjR1,4.5,Yes,,2017-07-24
2017-07-26,Dunkirk,2017,https://boxd.it/iOKv7,,,,2017-07-25
2017-07-26,Girls Trip,2017,https://boxd.it/iPcLn,4,,,2017-07-25
2017-07-27,The Big Lebowski,1998,https://boxd.it/iQuqz,3.5,,,2017-07-26
